MCI NUMBERS



216-375-9040  AKRON, OH
518-462-2068  ALBANY, NY
215-433-2166  ALLENTOWN, PA
313-662-2041  ANN ARBOR, MI
404-525-0714  ATLANTA, GA
512-474-4397  AUSTIN, TX
805-395-0123  BAKERSFIELD, CA
301-995-3000  BALTIMORE, MD
504-346-6800  BATON ROUGE, LA
713-832-9116  BEAUMONT, TX 
205-320-2100  BIRMINGHAM, AL
617-357-5562  BOSTON, MA
203-333-2722  BRIDGEPORT, CT
716-845-5150  BUFFALO, NY
609-338-0340  CAMDEN, NJ
803-577-6728  CHARLESTON, SC
704-375-4311  CHARLOTTE, NC
615-697-7000 
515-284-5040  DES MOINES, IA
313-964-2843  DETROIT, MI
312-364-6020  ELK GROVE, IL
213-575-1226  EL MONTE, CA
305-764-4522  FT. LAUDERDALE, FL
817-338-4749  FORT WORTH, TX
209-445-9300  FRESNO, CA
616-458-2472  GRAND RAPIDS, MI
919-378-9489  GREENSBORO, NC
803-233-1351  GREENSVILLE, SC
201-487-1210  HACKENSACK, NJ
717-234-0718  HARRISBURG, PA
203-527-7389  HARTFORD, CT
713-862-5067  HOUSTON, TX
317-637-5223  INDIANAPOLIS, IN
904-358-8522  JACKSONVILLE, FL
913-371-1300  KANSAS CITY, KS
615-521-7600  KNOXVILLE, TN606,388,5687!!M@OB@RUDS-!Q@406,593,2812!!M@ORHOF,MI
702-383-3000  LAS VEGAS, NV
606-233-7261  LEXINGTON, KY
501-372-2401  LITTLE ROCK, AR
213-488-1824  LOS ANGELES, CA
502-589-9360  LOUISVILLE, KY
804-528-2819  LYNCHBURG, VA
608-258-8900  MADISON, WI
901-525-3355  MEMPHIS, TN
305-545-8895  MIAMI, FL
414-933-5680  MILWAUKEE, WI
612-375-0690  MINNEAPOLIS, MN
201-285-9200  MORRISTOWN, NJ
615-327-2511  NASHVILLE, TN
201-589-6343  NEWARK, NJ
201-463-0900  NEW BRUNSWICK, NJ
203-787-0170  NEW HAVEN, CT
504-566-8300  NEW ORLEANS, LA
804-380-9038  NEWPORT NEWS, VA
212-248-0151  NEW YORK, NY
804-627-3596  NORFOLK, VA
215-272-0161  NORRISTOWN, PA
203-866-8411  NORWALK, CT
405-525-7731  OKLAHOMA CITY, OK
305-425-7791  ORLANDO, FL
415-858-2750  PALO ALTO, CA
215-563-3256  PHILADELPHIA, PA
602-257-8200  PHOENIX, AZ
412-261-4930  PITTSBURG, PA
401%:?;-8263  PROVIDENCE, RI
919-832-9438  RALEIGH, NC
215-376-4864  READING, PA
702-323-7191  RENO, NV
804-355-1433  RICHMOND, VA
716-325-1180  ROCHESTER, NY
916-448-6686  SACRAMENTO, CA
314-658-0800  ST. LOUIS, MO
813-822-1089  ST. PETERSBURG, FL
801-363-2738  SALT LAKE CITY, UT
512-223-8603  SAN ANTONIO, TX
714-233-9882  SAN DIEGO, CA
415-495-2816  SAN FRANCISCO, CA
408-280-1301  SAN JOSE, CA
714-973-8032  SANTA ANA, CA
717-347-9135  SCRANTON, PA
219-237-1700  SOUTH BEND, IN
803-573-7639  SPARTANBURG, SC
203-324-1172  STAMFORD, CT
315-471-8900  SYRACUSE, NY
813-223-5380  TAMPA, FL
609-989-1631  TRENTON, NJ
918-585-5001  TUISA, OK
213-989-2107  VAN NUYS, CA
202-565-4110  WASHINGTON, DC
305-659-2064  W. PALM BEACH, FL
914-997-8576  WHITE PLAINS, NY
316-267-1088  WICHITA, KS
717-825-2761  WILKES-BARRE, PA
302-654-2809  WILMINGTON, DE
919-725-3532  WINSTON-SALEM, NC

